Effective Date,Anticipated End Date,End Date,start,end,Location
8/24/2014,10/16/2014,10/16/2014,155,208,"Lokolia - Congo, The Democratic Republic Of The"
9/5/2014,10/31/2014,10/31/2014,167,223,"Lokolia - Congo, The Democratic Republic Of The"
9/8/2014,11/15/2014,11/15/2014,170,238,"Boende - Congo, The Democratic Republic Of The"
9/9/2014,9/27/2014,10/20/2014,171,189,"Lokolia - Congo, The Democratic Republic Of The"
9/14/2014,11/7/2014,11/7/2014,176,230,"Boende - Congo, The Democratic Republic Of The"
9/15/2014,11/5/2014,11/5/2014,177,228,"Lokolia - Congo, The Democratic Republic Of The"
9/15/2014,10/29/2014,10/29/2014,177,221,"Lokolia - Congo, The Democratic Republic Of The"
9/16/2014,11/27/2014,12/1/2014,178,250,"Lokolia - Congo, The Democratic Republic Of The"
9/16/2014,11/27/2014,11/27/2014,178,250,"Boende - Congo, The Democratic Republic Of The"
9/18/2014,10/7/2014,10/7/2014,180,199,"Lokolia - Congo, The Democratic Republic Of The"
11/3/2014,11/30/2014,11/30/2014,226,253,"Kinshasa - Congo, The Democratic Republic Of The"
3/18/2014,3/31/2014,3/31/2014,0,9,Macenta - Guinea
3/18/2014,4/25/2014,4/7/2014,0,34,Gueckedou - Guinea
3/20/2014,4/4/2014,4/4/2014,0,13,Gueckedou - Guinea
3/20/2014,4/7/2014,4/7/2014,0,16,Gueckedou - Guinea
3/22/2014,4/10/2014,4/10/2014,0,19,Conakry - Guinea
3/22/2014,4/10/2014,4/10/2014,0,19,Conakry - Guinea
3/22/2014,4/10/2014,4/10/2014,0,19,Conakry - Guinea
3/22/2014,4/10/2014,4/10/2014,0,19,Conakry - Guinea
3/23/2014,5/6/2014,5/6/2014,1,45,Macenta - Guinea
3/23/2014,4/24/2014,4/24/2014,1,33,Macenta - Guinea
3/24/2014,4/14/2014,4/14/2014,2,23,Conakry - Guinea
3/24/2014,4/7/2014,4/7/2014,2,16,Conakry - Guinea
3/24/2014,4/7/2014,4/7/2014,2,16,Macenta - Guinea
3/25/2014,5/8/2014,5/8/2014,3,47,Conakry - Guinea
3/26/2014,5/21/2014,5/21/2014,4,60,Conakry - Guinea
3/26/2014,6/6/2014,6/6/2014,4,76,Conakry - Guinea
3/27/2014,4/27/2014,5/17/2014,5,36,Gueckedou - Guinea
3/27/2014,4/29/2014,4/29/2014,5,38,Macenta - Guinea
3/27/2014,5/19/2014,5/19/2014,5,58,Macenta - Guinea
3/29/2014,5/10/2014,5/10/2014,7,49,Conakry - Guinea
3/29/2014,4/29/2014,4/29/2014,7,38,Gueckedou - Guinea
3/29/2014,4/25/2014,4/25/2014,7,34,Gueckedou - Guinea
3/30/2014,5/25/2014,5/25/2014,8,64,Conakry - Guinea
3/30/2014,5/4/2014,5/4/2014,8,43,Gueckedou - Guinea
3/30/2014,5/30/2014,5/30/2014,8,69,Gueckedou - Guinea
3/30/2014,5/31/2014,4/15/2014,8,70,Gueckedou - Guinea
3/31/2014,4/30/2014,4/23/2014,9,39,Gueckedou - Guinea
3/31/2014,4/26/2014,4/26/2014,9,35,Conakry - Guinea
4/1/2014,4/12/2014,4/12/2014,10,21,Conakry - Guinea
4/1/2014,6/1/2014,5/19/2014,10,71,Macenta - Guinea
4/1/2014,4/20/2014,4/26/2014,10,29,Conakry - Guinea
4/1/2014,5/12/2014,5/12/2014,10,51,Conakry - Guinea
4/2/2014,5/11/2014,5/11/2014,11,50,Gueckedou - Guinea
4/3/2014,4/15/2014,4/15/2014,12,24,Conakry - Guinea
4/4/2014,5/4/2014,4/30/2014,13,43,Conakry - Guinea
4/4/2014,5/25/2014,5/25/2014,13,64,Gueckedou - Guinea
4/4/2014,5/25/2014,5/25/2014,13,64,Macenta - Guinea
4/4/2014,5/27/2014,5/27/2014,13,66,Macenta - Guinea
4/6/2014,6/6/2014,5/19/2014,15,76,Gueckedou - Guinea
4/7/2014,5/7/2014,5/7/2014,16,46,Gueckedou - Guinea
4/7/2014,6/7/2014,5/20/2014,16,77,Monrovia - Liberia
4/7/2014,6/7/2014,5/11/2014,16,77,Monrovia - Liberia
4/7/2014,4/26/2014,4/26/2014,16,35,Conakry - Guinea
4/7/2014,6/7/2014,4/7/2014,16,77,Monrovia - Liberia
4/8/2014,6/11/2014,6/11/2014,17,81,Conakry - Guinea
4/8/2014,6/8/2014,5/4/2014,17,78,Macenta - Guinea
4/9/2014,4/25/2014,4/25/2014,18,34,Conakry - Guinea
4/10/2014,4/30/2014,4/30/2014,19,39,Gueckedou - Guinea
4/10/2014,6/23/2014,6/22/2014,19,93,Conakry - Guinea
4/10/2014,5/30/2014,6/2/2014,19,69,Gueckedou - Guinea
4/10/2014,5/13/2014,5/13/2014,19,52,Conakry - Guinea
4/12/2014,4/29/2014,5/2/2014,21,38,Gueckedou - Guinea
4/13/2014,5/31/2014,5/31/2014,22,70,Gueckedou - Guinea
4/13/2014,4/24/2014,4/24/2014,22,33,Gueckedou - Guinea
4/14/2014,7/4/2014,7/4/2014,23,104,Conakry - Guinea
4/14/2014,5/7/2014,5/7/2014,23,46,Gueckedou - Guinea
4/15/2014,5/5/2014,5/5/2014,24,44,Conakry - Guinea
4/15/2014,7/14/2014,7/14/2014,24,114,Gueckedou - Guinea
4/15/2014,6/24/2014,6/24/2014,24,94,Macenta - Guinea
4/16/2014,5/14/2014,5/14/2014,25,53,Gueckedou - Guinea
4/17/2014,6/3/2014,6/3/2014,26,73,Gueckedou - Guinea
4/17/2014,5/17/2014,5/18/2014,26,56,Conakry - Guinea
4/17/2014,7/21/2014,7/21/2014,26,121,Macenta - Guinea
4/17/2014,6/16/2014,6/4/2014,26,86,Macenta - Guinea
4/17/2014,5/10/2014,5/9/2014,26,49,Conakry - Guinea
4/18/2014,6/5/2014,6/5/2014,27,75,Conakry - Guinea
4/20/2014,12/31/2014,12/31/2014,29,284,Conakry - Guinea
4/21/2014,6/15/2014,6/15/2014,30,85,Gueckedou - Guinea
4/22/2014,6/15/2014,6/15/2014,31,85,Gueckedou - Guinea
4/22/2014,5/13/2014,5/9/2014,31,52,Conakry - Guinea
4/22/2014,6/23/2014,4/30/2014,31,93,Conakry - Guinea
4/23/2014,5/27/2014,5/31/2014,32,66,Gueckedou - Guinea
4/23/2014,5/2/2014,5/3/2014,32,41,Gueckedou - Guinea
4/23/2014,6/23/2014,6/23/2014,32,93,Gueckedou - Guinea
4/23/2014,6/10/2014,6/10/2014,32,80,Conakry - Guinea
4/24/2014,6/23/2014,6/23/2014,33,93,Conakry - Guinea
4/24/2014,7/14/2014,7/14/2014,33,114,Conakry - Guinea
4/24/2014,7/7/2014,7/6/2014,33,107,Conakry - Guinea
4/25/2014,5/13/2014,5/13/2014,34,52,Conakry - Guinea
4/26/2014,6/18/2014,6/18/2014,35,88,Conakry - Guinea
4/30/2014,5/30/2014,5/26/2014,39,69,Gueckedou - Guinea
5/1/2014,6/10/2014,6/10/2014,40,80,Gueckedou - Guinea
5/1/2014,6/11/2014,6/11/2014,40,81,Conakry - Guinea
5/1/2014,6/30/2014,6/30/2014,40,100,Conakry - Guinea
5/1/2014,11/21/2014,11/21/2014,40,244,Conakry - Guinea
5/1/2014,6/11/2014,6/11/2014,40,81,Gueckedou - Guinea
5/4/2014,5/24/2014,5/17/2014,43,63,Gueckedou - Guinea
5/5/2014,7/5/2014,7/5/2014,44,105,Gueckedou - Guinea
5/7/2014,7/20/2014,7/20/2014,46,120,Conakry - Guinea
5/9/2014,7/28/2014,7/28/2014,48,128,Gueckedou - Guinea
5/12/2014,8/12/2014,7/20/2014,51,143,Gueckedou - Guinea
5/15/2014,6/30/2014,6/30/2014,54,100,Gueckedou - Guinea
5/18/2014,8/4/2014,8/4/2014,57,135,Gueckedou - Guinea
5/18/2014,7/29/2014,7/29/2014,57,129,Télimélé - Guinea
5/19/2014,7/24/2014,7/24/2014,58,124,Macenta - Guinea
5/19/2014,7/4/2014,7/4/2014,58,104,Gueckedou - Guinea
5/20/2014,7/9/2014,7/9/2014,59,109,Gueckedou - Guinea
5/24/2014,7/24/2014,7/24/2014,63,124,Conakry - Guinea
5/26/2014,7/26/2014,7/26/2014,65,126,Télimélé - Guinea
5/27/2014,9/11/2014,9/13/2014,66,173,Gueckedou - Guinea
5/27/2014,6/17/2014,6/17/2014,66,87,Gueckedou - Guinea
5/28/2014,7/10/2014,7/10/2014,67,110,Télimélé - Guinea
5/29/2014,6/14/2014,6/13/2014,68,84,Télimélé - Guinea
5/29/2014,8/9/2014,7/9/2014,68,140,Conakry - Guinea
5/30/2014,7/19/2014,7/19/2014,69,119,Télimélé - Guinea
5/31/2014,7/23/2014,6/30/2014,70,123,Gueckedou - Guinea
6/1/2014,7/21/2014,7/21/2014,71,121,Gueckedou - Guinea
6/1/2014,8/1/2014,6/11/2014,71,132,Gueckedou - Guinea
6/1/2014,6/15/2014,7/23/2014,71,85,Télimélé - Guinea
6/3/2014,8/1/2014,6/30/2014,73,132,Conakry - Guinea
6/3/2014,8/31/2014,8/31/2014,73,162,Gueckedou - Guinea
6/4/2014,7/4/2014,7/4/2014,74,104,Conakry - Guinea
6/12/2014,11/2/2014,11/2/2014,82,225,Conakry - Guinea
6/12/2014,6/27/2014,6/26/2014,82,97,Conakry - Guinea
6/12/2014,9/28/2014,9/28/2014,82,190,Télimélé - Guinea
6/12/2014,7/11/2014,7/11/2014,82,111,Conakry - Guinea
6/13/2014,7/3/2014,7/3/2014,83,103,Gueckedou - Guinea
6/17/2014,8/8/2014,8/8/2014,87,139,Gueckedou - Guinea
6/17/2014,7/15/2014,7/17/2014,87,115,Gueckedou - Guinea
6/17/2014,8/9/2014,8/9/2014,87,140,Télimélé - Guinea
6/19/2014,8/19/2014,8/19/2014,89,150,Conakry - Guinea
6/19/2014,8/22/2014,8/22/2014,89,153,Conakry - Guinea
6/22/2014,7/13/2014,7/14/2014,92,113,Macenta - Guinea
6/23/2014,8/20/2014,8/20/2014,93,151,Conakry - Guinea
6/23/2014,9/7/2014,9/7/2014,93,169,Gueckedou - Guinea
6/24/2014,9/13/2014,9/13/2014,94,175,Conakry - Guinea
6/24/2014,8/13/2014,8/13/2014,94,144,Conakry - Guinea
6/24/2014,1/7/2015,1/7/2015,94,291,Conakry - Guinea
6/25/2014,9/12/2014,9/12/2014,95,174,Gueckedou - Guinea
6/27/2014,8/23/2014,8/23/2014,97,154,Macenta - Guinea
6/29/2014,7/18/2014,7/18/2014,99,118,Conakry - Guinea
6/30/2014,9/15/2014,9/15/2014,100,177,Télimélé - Guinea
6/30/2014,7/30/2014,10/8/2014,100,130,Gueckedou - Guinea
7/1/2014,8/1/2014,7/14/2014,101,132,Conakry - Guinea
7/1/2014,7/1/2014,7/1/2014,101,101,Gueckedou - Guinea
7/4/2014,8/16/2014,8/16/2014,104,147,Gueckedou - Guinea
7/4/2014,9/4/2014,8/19/2014,104,166,Gueckedou - Guinea
7/6/2014,9/26/2014,9/26/2014,106,188,Gueckedou - Guinea
7/7/2014,8/24/2014,8/24/2014,107,155,Conakry - Guinea
7/7/2014,9/7/2014,7/27/2014,107,169,Gueckedou - Guinea
7/8/2014,9/8/2014,8/6/2014,108,170,Conakry - Guinea
7/8/2014,8/2/2014,8/4/2014,108,133,Conakry - Guinea
7/11/2014,8/28/2014,8/28/2014,111,159,Conakry - Guinea
7/11/2014,8/17/2014,8/17/2014,111,148,Gueckedou - Guinea
7/15/2014,8/1/2014,8/14/2014,115,132,Macenta - Guinea
7/15/2014,9/1/2014,9/17/2014,115,163,Conakry - Guinea
7/15/2014,9/15/2014,9/15/2014,115,177,Gueckedou - Guinea
7/21/2014,9/21/2014,9/12/2014,121,183,Gueckedou - Guinea
7/21/2014,10/10/2014,10/10/2014,121,202,Gueckedou - Guinea
7/27/2014,8/11/2014,8/26/2014,127,142,Conakry - Guinea
7/28/2014,9/26/2014,9/26/2014,128,188,Gueckedou - Guinea
8/1/2014,9/1/2014,10/30/2014,132,163,Conakry - Guinea
8/4/2014,8/25/2014,9/8/2014,135,156,Gueckedou - Guinea
8/4/2014,9/3/2014,9/21/2014,135,165,Conakry - Guinea
8/7/2014,9/22/2014,9/22/2014,138,184,Gueckedou - Guinea
8/8/2014,9/12/2014,9/12/2014,139,174,Foya - Liberia
8/10/2014,9/10/2014,9/30/2014,141,172,Gueckedou - Guinea
8/10/2014,9/10/2014,10/5/2014,141,172,Gueckedou - Guinea
8/10/2014,9/14/2014,9/29/2014,141,176,Gueckedou - Guinea
8/12/2014,9/18/2014,9/18/2014,143,180,DAKAR - Senegal
8/12/2014,11/25/2014,11/25/2014,143,248,Conakry - Guinea
8/13/2014,9/13/2014,9/14/2014,144,175,DAKAR - Senegal
8/14/2014,10/4/2014,10/4/2014,145,196,Foya - Liberia
8/15/2014,9/15/2014,9/16/2014,146,177,Gueckedou - Guinea
8/17/2014,10/1/2014,11/6/2014,148,193,Gueckedou - Guinea
8/18/2014,10/1/2014,10/26/2014,149,193,Gueckedou - Guinea
8/18/2014,11/18/2014,8/30/2014,149,241,Gueckedou - Guinea
8/19/2014,9/16/2014,9/25/2014,150,178,Gueckedou - Guinea
8/21/2014,10/1/2014,11/9/2014,152,193,Conakry - Guinea
8/21/2014,11/13/2014,11/13/2014,152,236,Conakry - Guinea
8/23/2014,12/7/2014,12/7/2014,154,260,Gueckedou - Guinea
8/27/2014,10/1/2014,10/19/2014,158,193,Gueckedou - Guinea
8/27/2014,10/27/2014,10/22/2014,158,219,Conakry - Guinea
8/28/2014,10/15/2014,10/15/2014,159,207,Conakry - Guinea
8/28/2014,11/21/2014,11/21/2014,159,244,Gueckedou - Guinea
8/28/2014,11/17/2014,11/17/2014,159,240,Gueckedou - Guinea
8/29/2014,11/3/2014,11/3/2014,160,226,Gueckedou - Guinea
8/31/2014,11/11/2014,11/11/2014,162,234,Gueckedou - Guinea
9/1/2014,9/30/2014,10/2/2014,163,192,Conakry - Guinea
9/1/2014,11/1/2014,11/16/2014,163,224,Conakry - Guinea
9/4/2014,11/13/2014,11/13/2014,166,236,Gueckedou - Guinea
9/4/2014,11/3/2014,11/3/2014,166,226,Gueckedou - Guinea
9/5/2014,10/2/2014,10/22/2014,167,194,Conakry - Guinea
9/5/2014,12/9/2014,12/9/2014,167,262,Conakry - Guinea
9/5/2014,9/21/2014,9/23/2014,167,183,Conakry - Guinea
9/8/2014,11/11/2014,11/11/2014,170,234,Gueckedou - Guinea
9/10/2014,10/17/2014,11/9/2014,172,209,Macenta - Guinea
9/10/2014,12/3/2014,12/3/2014,172,256,Conakry - Guinea
9/11/2014,10/17/2014,10/17/2014,173,209,DAKAR - Senegal
9/12/2014,10/17/2014,9/30/2014,174,209,DAKAR - Senegal
9/12/2014,11/17/2014,11/17/2014,174,240,Gueckedou - Guinea
9/13/2014,10/2/2014,10/2/2014,175,194,Gueckedou - Guinea
9/14/2014,10/20/2014,11/10/2014,176,212,Gueckedou - Guinea
9/15/2014,10/27/2014,11/7/2014,177,219,Macenta - Guinea
9/15/2014,10/27/2014,11/7/2014,177,219,Gueckedou - Guinea
9/15/2014,11/3/2014,11/3/2014,177,226,Gueckedou - Guinea
9/15/2014,11/1/2014,12/12/2014,177,224,Gueckedou - Guinea
9/15/2014,11/25/2014,11/25/2014,177,248,Macenta - Guinea
9/16/2014,11/27/2014,12/5/2014,178,250,Gueckedou - Guinea
9/21/2014,10/21/2014,10/21/2014,183,213,Conakry - Guinea
9/22/2014,11/7/2014,11/7/2014,184,230,Conakry - Guinea
9/23/2014,11/12/2014,11/12/2014,185,235,Gueckedou - Guinea
9/24/2014,12/17/2014,12/17/2014,186,270,Conakry - Guinea
9/24/2014,12/13/2014,12/13/2014,186,266,Macenta - Guinea
9/25/2014,11/13/2014,11/13/2014,187,236,Conakry - Guinea
9/27/2014,12/31/2014,12/31/2014,189,284,Conakry - Guinea
9/27/2014,11/25/2014,11/25/2014,189,248,Macenta - Guinea
9/28/2014,11/21/2014,11/21/2014,190,244,Conakry - Guinea
9/29/2014,12/8/2014,12/8/2014,191,261,Gueckedou - Guinea
9/29/2014,12/8/2014,12/8/2014,191,261,Gueckedou - Guinea
9/29/2014,11/30/2014,11/30/2014,191,253,Conakry - Guinea
10/1/2014,11/28/2014,11/28/2014,193,251,Gueckedou - Guinea
10/1/2014,11/16/2014,11/16/2014,193,239,Gueckedou - Guinea
10/2/2014,12/31/2014,12/31/2014,194,284,Conakry - Guinea
10/3/2014,11/30/2014,11/30/2014,195,253,Macenta - Guinea
10/4/2014,12/10/2014,12/10/2014,196,263,Conakry - Guinea
10/4/2014,11/3/2014,11/3/2014,196,226,Macenta - Guinea
10/6/2014,12/3/2014,12/3/2014,198,256,Macenta - Guinea
10/6/2014,12/2/2014,12/3/2014,198,255,Conakry - Guinea
10/7/2014,12/9/2014,12/9/2014,199,262,Macenta - Guinea
10/7/2014,10/31/2014,11/27/2014,199,223,Conakry - Guinea
10/8/2014,12/3/2014,12/3/2014,200,256,Gueckedou - Guinea
10/9/2014,11/30/2014,11/30/2014,201,253,Conakry - Guinea
10/13/2014,12/12/2014,12/12/2014,205,265,Gueckedou - Guinea
10/13/2014,12/13/2014,10/20/2014,205,266,Gueckedou - Guinea
10/13/2014,12/6/2014,12/6/2014,205,259,Gueckedou - Guinea
10/13/2014,12/31/2014,12/31/2014,205,284,Macenta - Guinea
10/14/2014,12/23/2014,12/23/2014,206,276,Macenta - Guinea
10/15/2014,1/5/2015,1/5/2015,207,289,Conakry - Guinea
10/15/2014,1/5/2015,1/5/2015,207,289,Gueckedou - Guinea
10/15/2014,11/26/2014,10/15/2014,207,249,Gueckedou - Guinea
10/16/2014,12/1/2014,12/1/2014,208,254,Gueckedou - Guinea
10/16/2014,11/27/2014,10/27/2014,208,250,Conakry - Guinea
10/19/2014,12/24/2014,12/24/2014,211,277,Conakry - Guinea
10/19/2014,1/16/2015,1/16/2015,211,300,Gueckedou - Guinea
10/20/2014,1/2/2015,1/2/2015,212,286,Gueckedou - Guinea
10/21/2014,12/21/2014,11/27/2014,213,274,Gueckedou - Guinea
10/21/2014,12/31/2014,12/31/2014,213,284,Macenta - Guinea
10/21/2014,2/1/2015,2/1/2015,213,316,Gueckedou - Guinea
10/21/2014,1/18/2015,1/18/2015,213,302,Conakry - Guinea
10/22/2014,12/24/2014,12/24/2014,214,277,Gueckedou - Guinea
10/22/2014,1/11/2015,1/11/2015,214,295,Macenta - Guinea
10/22/2014,12/26/2014,12/26/2014,214,279,Conakry - Guinea
10/22/2014,12/26/2014,12/26/2014,214,279,Gueckedou - Guinea
10/23/2014,12/4/2014,11/16/2014,215,257,Conakry - Guinea
10/23/2014,11/14/2014,11/16/2014,215,237,Conakry - Guinea
10/26/2014,12/26/2014,12/26/2014,218,279,Conakry - Guinea
10/27/2014,1/17/2015,1/17/2015,219,301,Conakry - Guinea
10/27/2014,1/14/2015,1/14/2015,219,298,Conakry - Guinea
10/28/2014,1/11/2015,1/11/2015,220,295,Conakry - Guinea
10/28/2014,12/17/2014,12/17/2014,220,270,Conakry - Guinea
10/29/2014,12/21/2014,12/21/2014,221,274,Macenta - Guinea
10/29/2014,12/21/2014,12/21/2014,221,274,Conakry - Guinea
10/31/2014,12/19/2014,12/19/2014,223,272,Conakry - Guinea
10/31/2014,11/29/2014,12/17/2014,223,252,Conakry - Guinea
11/1/2014,1/5/2015,12/31/2014,224,289,Conakry - Guinea
11/2/2014,12/14/2014,12/18/2014,225,267,Gueckedou - Guinea
11/2/2014,12/22/2014,12/22/2014,225,275,Gueckedou - Guinea
11/2/2014,1/5/2015,1/5/2015,225,289,Conakry - Guinea
11/2/2014,12/23/2014,12/23/2014,225,276,Conakry - Guinea
11/2/2014,12/29/2014,12/29/2014,225,282,Conakry - Guinea
11/2/2014,12/29/2014,12/29/2014,225,282,Conakry - Guinea
11/3/2014,1/22/2015,1/22/2015,226,306,Gueckedou - Guinea
11/3/2014,11/25/2014,11/25/2014,226,248,Macenta - Guinea
11/3/2014,12/21/2014,12/21/2014,226,274,Conakry - Guinea
11/3/2014,1/1/2015,1/1/2015,226,285,Macenta - Guinea
11/3/2014,1/11/2015,1/11/2015,226,295,Gueckedou - Guinea
11/3/2014,12/24/2014,12/24/2014,226,277,Gueckedou - Guinea
11/3/2014,1/4/2015,1/4/2015,226,288,Gueckedou - Guinea
11/3/2014,11/22/2014,11/23/2014,226,245,Conakry - Guinea
11/3/2014,12/31/2014,12/31/2014,226,284,Macenta - Guinea
11/4/2014,12/31/2014,12/31/2014,227,284,Conakry - Guinea
11/5/2014,12/31/2014,12/31/2014,228,284,Gueckedou - Guinea
11/5/2014,12/11/2014,12/31/2014,228,264,Gueckedou - Guinea
11/5/2014,2/1/2015,2/1/2015,228,316,Gueckedou - Guinea
11/6/2014,12/18/2014,12/14/2014,229,271,Macenta - Guinea
11/7/2014,1/5/2015,1/5/2015,230,289,Conakry - Guinea
11/10/2014,1/5/2015,1/5/2015,233,289,Macenta - Guinea
11/10/2014,1/11/2015,1/11/2015,233,295,Conakry - Guinea
11/10/2014,2/5/2015,2/5/2015,233,320,Conakry - Guinea
11/10/2014,11/30/2014,11/30/2014,233,253,Conakry - Guinea
11/11/2014,2/1/2015,2/1/2015,234,316,Conakry - Guinea
11/13/2014,12/20/2014,12/12/2014,236,273,Macenta - Guinea
11/13/2014,12/31/2014,12/29/2014,236,284,Conakry - Guinea
11/13/2014,12/28/2014,12/28/2014,236,281,Conakry - Guinea
11/13/2014,11/25/2014,11/27/2014,236,248,Gueckedou - Guinea
11/14/2014,1/5/2015,1/4/2015,237,289,Gueckedou - Guinea
11/15/2014,1/15/2015,1/18/2015,238,299,Conakry - Guinea
11/16/2014,12/31/2014,12/31/2014,239,284,Macenta - Guinea
11/17/2014,1/9/2015,1/9/2015,240,293,Gueckedou - Guinea
